Nickname,Followers,Views,Revenue,ProductCount,LiveNum,LiveGmv,VideoNum,VideoGmv,RevenuePerFollower,RevenuePerVideo,RevenuePerLive
azam.perawat.alayyubi,208130,13300000,1540000,1,21,365470,5,1180000,7.43,236000.0,17403.33
suesuraya839,155750,2510000,593260,10,190,510860,97,82400,3.81,849.48,2688.74
shanienanatasyaaaa,1040000,25510000,577870,4,63,49840,126,528030,0.56,4190.71,791.11
sallywhoo,2700000,27980000,548190,11,20,287300,25,260890,0.2,10435.6,14365.0
eirasyaziraofficial,1100000,22920000,545570,10,76,398880,17,146690,0.5,8628.82,5248.42
nl.alchemist,139970,988980,485200,131,59,485200,22,0,3.47,0.0,8223.73
glamwithgracey,94670,1700000,451530,174,27,427090,28,24440,4.77,872.86,15818.15
nelysa_norazlan,3450000,28390000,446480,23,2,2680,28,443800,0.13,15850.0,1340.0
bellakhann.bk,1390000,7200000,429780,5,18,18070,4,411700,0.31,102925.0,1003.89
rozyanaroslan2,5700000,19690000,418690,5,44,295970,17,122730,0.07,7219.41,6726.59
meknuraini_,1270000,10230000,361520,13,27,156080,27,205440,0.28,7608.89,5780.74
mirmo_rose,63800,937430,348890,146,56,317370,7,31520,5.47,4502.86,5667.32
kelatekawinrussian,59510,2690000,346310,4,41,96770,12,249540,5.82,20795.0,2360.24
bkdotmy,73210,1080000,330480,5,73,134730,2,195750,4.51,97875.0,1845.62
my.drleo,158210,839750,328490,26,41,297090,97,31390,2.08,323.61,7246.1
kekbajetgerik,47380,1950000,322980,36,29,122340,41,200640,6.82,4893.66,4218.62
darenbless,54150,2470000,311150,5,235,130750,25,180390,5.75,7215.6,556.38
cubremi,199970,6670000,305310,9,35,125400,24,179910,1.53,7496.25,3582.86
wan.said,297930,1170000,304490,46,238,298400,2,6090,1.02,3045.0,1253.78
aaddanish,181080,4120000,302240,17,0,0,15,302240,1.67,20149.33,0.0
silkylara_official,63480,5600000,293010,11,61,110020,42,182990,4.62,4356.9,1803.61
sipeanutshahalam11,448540,21750000,270180,17,10,0,98,270180,0.6,2756.94,0.0
azikadir,258329,7460000,269370,6,37,248810,32,20560,1.04,642.5,6724.59
raisyareview,82950,2190000,267340,11,41,242250,97,25090,3.22,258.66,5908.54
afor_aditi,318040,7670000,265270,23,0,0,89,265270,0.83,2980.56,0.0
nuuhabeauty,176030,1120000,257380,7,157,152370,14,105010,1.46,7500.71,970.51
pherodiamond,134860,4420000,252480,6,19,22870,25,229610,1.87,9184.4,1203.68
norara039,42430,6370000,248720,9,138,76350,5,172360,5.86,34472.0,553.26
adlinnabartech,394680,1660000,246150,4,27,246150,18,0,0.62,0.0,9116.67
syimaeima,1510000,9440000,241630,9,89,126490,9,115140,0.16,12793.33,1421.24
paperfarah,52130,3190000,234870,25,0,0,16,234870,4.51,14679.38,0.0
w4wazainal,256339,874470,224810,17,256,140500,1,84310,0.88,84310.0,548.83
yang,5140000,15260000,220380,101,73,220380,13,0,0.04,0.0,3018.9
nnady__,22020,832140,216710,14,3,0,18,216710,9.84,12039.44,0.0
kakiereview,28470,2620000,210830,50,49,14070,87,196760,7.41,2261.61,287.14
dinapejuangkanker_90,517919,5640000,206760,32,254,205170,101,1590,0.4,15.74,807.76
gmeelan.my.skincare,180410,1920000,201850,23,25,201850,68,0,1.12,0.0,8074.0
papalarisofficial,298300,6280000,196350,16,89,181050,0,15300,0.66,0.0,2034.27
nizam_rahman,472570,5280000,196110,5,21,15630,5,180490,0.42,36098.0,744.29
jajan_kudapan,177400,8220000,195740,11,0,0,68,195740,1.1,2878.53,0.0
kakakvanilla,18580,314670,194460,63,62,194160,13,290,10.47,22.31,3131.61
mairaradzi,48560,8150000,192050,7,5,0,3,192050,3.95,64016.67,0.0
sarahamir___,132950,5940000,191460,25,7,0,44,191460,1.44,4351.36,0.0
kasturiuahofficial,126220,1680000,189020,5,100,120940,1,68080,1.5,68080.0,1209.4
heliq4_,678830,14910000,188730,1,76,49510,26,139220,0.28,5354.62,651.45
ellyshaahmmmm,9210,785990,188180,9,0,0,119,188180,20.43,1581.34,0.0
kak_wangi,36020,177800,187620,28,23,182980,34,4640,5.21,136.47,7955.65
azfar.kamarul,60790,2170000,187430,1,21,87090,1,100340,3.08,100340.0,4147.14
dr.anne05,64500,772780,183510,16,131,170440,22,13060,2.84,593.64,1301.07
patiphero,60980,619010,183180,8,94,179590,0,3590,3.0,0.0,1910.53
wenysusanti79,434140,4580000,179500,48,50,110570,187,68920,0.41,368.56,2211.4
ftiniffah,81660,1660000,177500,10,33,0,8,177500,2.17,22187.5,0.0
mcteqmierah97,1200000,26900000,175090,3,0,0,20,175090,0.15,8754.5,0.0
amf.ain,51740,8970000,172480,17,0,0,82,172480,3.33,2103.41,0.0
