Unnamed: 0,id,name,commentCount,comment_text,cleaned_comment_text,cleaned_comment_text_demojise,gpt_label
0,7.41968E+18,kekbajetgerik,11,"Done order🥰;done order iceream edition🥰🥰;Scandalous and MidNight Fantasy... My favourite 🥰🥰;Mantapp👍👍;Done order..mmg suka sgt perfume ni bau best & tahan lama🥰🥰;suka beli minyak yaya empire nie murah tapi wangi mcm minyak wangi yg mhal..suka sngt bau2 dia smua lembut2;Done order 5 botol ! Serious wangi & tahan lama 🥰;done oder 5 btol;done order 3 botol🫶🏻;mmg sdp sgt bau;done oder;𝔻𝕠𝕟𝕖,𝕠𝕣𝕕𝕖𝕣 5😘","Selesai pesanan🥰;selesai pesanan edisi ais krim🥰🥰;Skandal dan Fantasi Tengah Malam... Kegemaran saya 🥰🥰;Mantap👍👍;Selesai pesanan..memang suka sangat minyak wangi ini bau terbaik & tahan lama🥰🥰;suka beli minyak empayar yaya ini murah tapi wangi macam minyak wangi yang mahal..suka sangat bau-bau dia semua lembut-lembut;Selesai pesanan 5 botol! Serius wangi & tahan lama 🥰;selesai pesanan 5 botol;selesai pesanan 3 botol🫶🏻;memang sedap sangat bau;selesai pesanan;Selesai, pesanan 5😘","Selesai pesanan:smiling_face_with_hearts:;selesai pesanan edisi ais krim:smiling_face_with_hearts::smiling_face_with_hearts:;Skandal dan Fantasi Tengah Malam... Kegemaran saya :smiling_face_with_hearts::smiling_face_with_hearts:;Mantap:thumbs_up::thumbs_up:;Selesai pesanan..memang suka sangat minyak wangi ini bau terbaik & tahan lama:smiling_face_with_hearts::smiling_face_with_hearts:;suka beli minyak empayar yaya ini murah tapi wangi macam minyak wangi yang mahal..suka sangat bau-bau dia semua lembut-lembut;Selesai pesanan 5 botol! Serius wangi & tahan lama :smiling_face_with_hearts:;selesai pesanan 5 botol;selesai pesanan 3 botol:heart_hands_light_skin_tone:;memang sedap sangat bau;selesai pesanan;Selesai, pesanan 5:face_blowing_a_kiss:",Positive
1,7.41962E+18,kekbajetgerik,10,"Mantapp👍👍;Done beli 4botol ♥️tq sis suggest bau yg best2 😍🥰;Done beli 4 botol seduction , 1 botol jdor…seduction plg recommend😍;Suka sangat bear edition punya bau. Wangi dan sangat attractive. Done repeat lagi 3 botol.;done beli 3 botol...Dino pink🥰🥰;done order 6 botol 🥰;done payment 5 btl..1st time nk try by yaya empire;Sedap;xboleh nak ckp yg mna wangi..sbb semua perfume yaya wangi👍👍👍👍👍;done order 5 botol..repeat Kali ke 3","Mantap 👍👍; Sudah beli 4 botol ♥️ terima kasih kakak kerana mencadangkan bau yang terbaik😍🥰; Sudah beli 4 botol seduction, 1 botol jdora…seduction paling disyorkan😍; Suka sangat edisi bear punya bau. Wangi dan sangat menarik. Sudah ulang beli lagi 3 botol.; Sudah beli 3 botol...Dino pink🥰🥰; Sudah buat pesanan 6 botol 🥰; Sudah buat bayaran 5 botol.. kali pertama nak cuba dari yaya empire; Sedap; Tak boleh nak cakap yang mana wangi..sebab semua minyak wangi yaya wangi👍👍👍👍👍; Sudah buat pesanan 5 botol.. ulang kali ke 3.","Mantap :thumbs_up::thumbs_up:; Sudah beli 4 botol :heart_suit: terima kasih kakak kerana mencadangkan bau yang terbaik:smiling_face_with_heart-eyes::smiling_face_with_hearts:; Sudah beli 4 botol seduction, 1 botol jdora…seduction paling disyorkan:smiling_face_with_heart-eyes:; Suka sangat edisi bear punya bau. Wangi dan sangat menarik. Sudah ulang beli lagi 3 botol.; Sudah beli 3 botol...Dino pink:smiling_face_with_hearts::smiling_face_with_hearts:; Sudah buat pesanan 6 botol :smiling_face_with_hearts:; Sudah buat bayaran 5 botol.. kali pertama nak cuba dari yaya empire; Sedap; Tak boleh nak cakap yang mana wangi..sebab semua minyak wangi yaya wangi:thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up:; Sudah buat pesanan 5 botol.. ulang kali ke 3.",Positive
2,7.41931E+18,kekbajetgerik,9,"DONE PAYMENT LOLIPOP & DINO PURPLE;Wow mantappp👍👍;done grab 5 👍🏼😆;sy dh beli 4 botol;Done order 4 botol 🤭;done beli ye crat 2botol❤️;done 2 botol;Saya beli Twinkle Bubblegum sumpah wangi, dah 4 botol sy beli. Wangi mcm nk telam 🥰;Abg sombong. Tapi dah order 4 botol","Selesai pembayaran lolipop & dino ungu; Wow mantap 👍👍; sudah grab 5 👍🏼😆; saya sudah beli 4 botol; selesai pesan 4 botol 🤭; sudah beli ya krat 2 botol❤️; selesai 2 botol; Saya beli Twinkle Bubblegum sumpah wangi, sudah 4 botol saya beli. Wangi macam nak telan 🥰; Abang sombong. Tapi sudah pesan 4 botol","Selesai pembayaran lolipop & dino ungu; Wow mantap :thumbs_up::thumbs_up:; sudah grab 5 :thumbs_up_medium-light_skin_tone::grinning_squinting_face:; saya sudah beli 4 botol; selesai pesan 4 botol :face_with_hand_over_mouth:; sudah beli ya krat 2 botol:red_heart:; selesai 2 botol; Saya beli Twinkle Bubblegum sumpah wangi, sudah 4 botol saya beli. Wangi macam nak telan :smiling_face_with_hearts:; Abang sombong. Tapi sudah pesan 4 botol",Positive
3,7.41929E+18,kekbajetgerik,2,"Wow menarik, dia ajar sebut bahasa mandrin jgk ke sis?","Wow menarik, dia ajar sebut bahasa mandarin juga ke kakak?","Wow menarik, dia ajar sebut bahasa mandarin juga ke kakak?",Neutral
4,7.41926E+18,kekbajetgerik,6,Done order!;ok done payment dunhill red;Mantappp👍👍;Mantapp👍👍;Okayy done payment 5botol😘;❤️,Pesanan selesai!;ok selesai pembayaran dunhill merah;Mantap👍👍;Mantap👍👍;Baiklah selesai pembayaran 5 botol😘;❤️,Pesanan selesai!;ok selesai pembayaran dunhill merah;Mantap:thumbs_up::thumbs_up:;Mantap:thumbs_up::thumbs_up:;Baiklah selesai pembayaran 5 botol:face_blowing_a_kiss:;:red_heart:,Positive
5,7.41894E+18,kekbajetgerik,6,Mantapp rugi klo x beli. Beli semasa live shj dpt harga murah2 guyss👍👍;Done beli 4 trus;done beli 6botol 🤩🤩;done beli 4 botol;done beli 4 botol. Dapat 7.15 jerr;😚,Mantap rugi kalau tidak beli. Beli semasa siaran langsung sahaja dapat harga murah-murah kawan-kawan 👍👍; Sudah beli 4 terus; sudah beli 6 botol 🤩🤩; sudah beli 4 botol; sudah beli 4 botol. Dapat 7.15 sahaja;😚,Mantap rugi kalau tidak beli. Beli semasa siaran langsung sahaja dapat harga murah-murah kawan-kawan :thumbs_up::thumbs_up:; Sudah beli 4 terus; sudah beli 6 botol :star-struck::star-struck:; sudah beli 4 botol; sudah beli 4 botol. Dapat 7.15 sahaja;:kissing_face_with_closed_eyes:,Positive
6,7.41893E+18,kekbajetgerik,3,cute;Wow. Mantappp👍👍;Comel,Wow. Mantap 👍👍;Comel,Wow. Mantap :thumbs_up::thumbs_up:;Comel,Positive
7,7.41858E+18,kekbajetgerik,16,"Cpt2 grab guyss... memang sangat puas hati guyss👍👍;done order 3botol
sweet vanila, vanila, sweet candy...;DONE BELI..😉😉😉;done beli 3 botol😍;Done payment 5 botol 👍;Done order 4 botol👍;Done repeat 5 botol.... 😁;Done beli;yeay done oder pink dino as suggested..🥰 tqvm;done beli 7 botol;done ✅ oder 2 btol 🥰🥰🥰🥰tq;dh oder 2botol...;done order 5 botol;done oder 4 botol;doneoder10btol;done beli dino ijau botol besr🥰","Cepat-cepat ambil kawan-kawan... memang sangat puas hati kawan-kawan 👍👍; sudah buat pesanan 3 botol vanila manis, vanila, gula-gula manis...; SUDAH BELI.. 😉😉😉; sudah beli 3 botol 😍; sudah buat pembayaran 5 botol 👍; sudah buat pesanan 4 botol 👍; sudah ulang 5 botol... 😁; sudah beli; yeay sudah buat pesanan dino merah jambu seperti disarankan..🥰 terima kasih banyak; sudah beli 7 botol; sudah ✅ buat pesanan 2 botol 🥰🥰🥰🥰 terima kasih; sudah buat pesanan 2 botol...; sudah buat pesanan 5 botol; sudah buat pesanan 4 botol; sudah buat pesanan 10 botol; sudah beli dino hijau botol besar 🥰","Cepat-cepat ambil kawan-kawan... memang sangat puas hati kawan-kawan :thumbs_up::thumbs_up:; sudah buat pesanan 3 botol vanila manis, vanila, gula-gula manis...; SUDAH BELI.. :winking_face::winking_face::winking_face:; sudah beli 3 botol :smiling_face_with_heart-eyes:; sudah buat pembayaran 5 botol :thumbs_up:; sudah buat pesanan 4 botol :thumbs_up:; sudah ulang 5 botol... :beaming_face_with_smiling_eyes:; sudah beli; yeay sudah buat pesanan dino merah jambu seperti disarankan..:smiling_face_with_hearts: terima kasih banyak; sudah beli 7 botol; sudah :check_mark_button: buat pesanan 2 botol :smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts: terima kasih; sudah buat pesanan 2 botol...; sudah buat pesanan 5 botol; sudah buat pesanan 4 botol; sudah buat pesanan 10 botol; sudah beli dino hijau botol besar :smiling_face_with_hearts:",Positive
8,7.41851E+18,kekbajetgerik,11,done grab fairytale🥰;sorry tak sengaja grab 4 bottle😂;Rugi klo x beli guyss. Sangat2 puas hati👍👍;Done order 5 botol🥰;Seller baik hatii;Done Oder Raya Edition😍😍;Done grab 4 botol . Beli online lagi murah 😭;done beli 5 botol;♥️♥️;👍👍👍,Sudah ambil kisah dongeng🥰; maaf tak sengaja ambil 4 botol😂; Rugi kalau tak beli kawan-kawan. Sangat-sangat puas hati👍👍; Sudah pesan 5 botol🥰; Penjual baik hati; Sudah pesan Edisi Raya😍😍; Sudah ambil 4 botol. Beli dalam talian lagi murah 😭; sudah beli 5 botol; ♥️♥️; 👍👍👍,Sudah ambil kisah dongeng:smiling_face_with_hearts:; maaf tak sengaja ambil 4 botol:face_with_tears_of_joy:; Rugi kalau tak beli kawan-kawan. Sangat-sangat puas hati:thumbs_up::thumbs_up:; Sudah pesan 5 botol:smiling_face_with_hearts:; Penjual baik hati; Sudah pesan Edisi Raya:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:; Sudah ambil 4 botol. Beli dalam talian lagi murah :loudly_crying_face:; sudah beli 5 botol; :heart_suit::heart_suit:; :thumbs_up::thumbs_up::thumbs_up:,Positive
9,7.41818E+18,kekbajetgerik,4,"Mantappp👍👍;saya dah beli..harap membantu..;kena beli kalau affiliate..sgt mmbantu;saya da beli , beli lagi","Mantap👍👍;saya sudah beli..harap membantu..;kena beli kalau sekutu..sangat membantu;saya sudah beli, beli lagi","Mantap:thumbs_up::thumbs_up:;saya sudah beli..harap membantu..;kena beli kalau sekutu..sangat membantu;saya sudah beli, beli lagi",Positive
